Name,Author,Pages,Format,Platform,Year Read,Bin
The chrysalids,John Wyndham,217,Audiobook,Youtube,2026,Medium
The declaration of independence and the constitution of the United States,U.S. Citizenship and Immigration Services,56,Print,Gift,2023,Short
The desciplined trader: Developing winning attitudes,Mark Douglas,236,Audiobook,Youtube,2024,Medium
The five love languages: The secret to love that lasts,Gary Chapman,272,Audiobook,Youtube,2022,Medium
The four agreements: a practical guide to personal freedom,Don Miquel Ruiz,140,Print,Amazon,2021,Medium
The gift (Hush collection),Alison Gaylin,31,Audiobook,Amazon Prime,2025,Short
The good girl: Part one,Tracy Reed,83,Ebook,Kindle,2025,Short
The great gatsby,F. Scott Fitzgerald,233,Audiobook,Apple Books,2023,Medium
The light we carry: Overcoming in uncertain times,Michelle Obama,317,Print,QPL,2023,Long
The lion's den (Inheritance Collection Book 3),Anthony Marra,27,Audiobook,Amazon Prime,2025,Short
The magic of believing: The immortal program to unlocking the success power of your mind,Claude M. Bristol & Mitch Horowitz,52,Ebook,Hoopla,2026,Short
The one thing: The surprisingly simple truth behind extraordinary results,Gary Keller,240,Print,Google Drive,2021,Medium
The power of now: a guide to spiritual enlightenment,Eckhart Tolle,236,Print,QPL,2024,Medium
The power of positive thinking: 10 traits for maximum results,Norman Vincent Peale,240,Audiobook,Hoopla,2025,Medium
The power of your subconscious mind,Joseph Murphy,224,Ebook,Kindle,2024,Medium
The prayer of Jabez: breaking through to the blessed life,Bruce Wilkinson,93,Print,Gift,2025,Short
The richest man in Babylon,George S. Clason,224,Ebook,Google Drive,2021,Medium
The secret: A gripping novel of how far a mother would go for her child,Kathryn Hughes,321,Ebook,Kindle,2024,Long
The signal and the noise: Why so many predictions fail - but some don't,Nate Silver,534,Print,QPL,2024,Long
The slight edge: Turning simple disciplines into massive success & happiness,Jeff Olson,280,Print,Amazon,2021,Medium
The subtle art of not giving a F*ck: A counterintuitive approach to living a good life,Mark Manson,206,Ebook,Google Drive,2022,Medium
The unseen realm: An introduction to the realm of the supernatural,Francis Jonah,37,Ebook,Kindle,2025,Short
The weddings (Inheritance Collection Book 5),Alexander Chee,47,Audiobook,Amazon Prime,2025,Short
Think and grow rich,Napoleon Hill,290,Ebook,Google Drive,2021,Medium
Think like a champion: An informal education in business and life,Donald J. Trump,226,Audiobook,Hoopla,2025,Medium
"Thinking strategically: the competitive edge in business, politics and everyday life",Avinash K. Dixit & Barry J. Nalebuff,384,Ebook,Google Drive,2021,Long
"Thinking, fast and slow",Daniel Kahneman,514,Ebook,Amazon Prime,2023,Long
"Trading in the zone: master the market with confidence, discipline and a winning attitude",Mark Douglas,207,Print,Amazon,2021,Medium
Treasure (Hush collection),Oyinkan Braithwaite,35,Audiobook,Amazon Prime,2025,Short
Trick or Truth: The truth sets us free but only if it's actually true,Chloe-Ann Shaw,169,Ebook,Kindle,2026,Medium
War is kind,Stephen Crane,42,Ebook,Kindle,2023,Short
"We should all be millionaires: A woman's guide to earning more, building wealth, and gaining economic power",Rachel Rodgers,276,Ebook,Amazon Prime,2022,Medium
What I wish i knew before 30: Life lessons inspire you to greatness (Alpha) (Inspiring Stories book 1),Francis Jonah,60,Ebook,Kindle,2025,Short
What makes the great great: strategies for extraordinary achievement,Dennis P. Kimbro,328,Print,Amazon,2023,Long
When God whispers loudly (Terreldor Press Shorts Book 1),Chris Hibbard,15,Ebook,Kindle,2025,Short
When he feels like home,Kizzie Kollins,203,Ebook,Kindle,2026,Medium
Who moved my cheese: An A-Mazing way to deal with change in your work and in your life,Spencer Johnson,94,Print,Ebay,2021,Short
Why does he do that: Inside the mind of angry and controlling men,Lundy Bencroft,429,Audiobook,Hoopla,2025,Long
Why we sleep; unlocking the power of sleep and dreams,Mathew Walker,323,Ebook,Google Drive,2022,Long
Why your weirdness is wonderful: Embrace your quirks and live your strengths,Laurie Wallin,193,Ebook,Kindle,2023,Medium
Zenith man (Inheritance Collection Book 4),Jennifer Haigh,24,Audiobook,Amazon Prime,2025,Short
